"ID";"Region";"global_id";"TariffItem";"UnitOfMeasure";"StartDate";"EndDate";"MeasureDeviceAvail";"StoveType";"ConsumptionTime";"ConsumptionTarget";"Agency";"TariffValue";
"275";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693297";"Холодное водоснабжение";"руб/куб.м";"01.09.2012";"31.12.2012";"да";"";"";"";"МГУП «Мосводоканал»";"26.75";
"279";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693298";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"без дифференциации по времени потребления";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.79";
"285";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693299";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 07:00 по 10:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.8";
"301";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693300";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 07:00 по 10:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"4.03";
"302";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693301";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 17:00 по 21:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"4.03";
"313";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693302";"Отопление";"руб/Гкал";"01.09.2012";"31.12.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"1440.5";
"318";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693303";"Горячее водоснабжение";"руб/куб.м";"01.07.2012";"31.08.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"111.44";
"319";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693304";"Горячее водоснабжение";"руб/куб.м";"01.09.2012";"31.12.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"116";
"324";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693305";"Газ";"руб/чел";"01.07.2012";"31.12.2012";"нет";"";"";"при наличии в квартире газовой плиты и централизованного горячего водоснабжения";"ООО «Газпром межрегионгаз Москва»";"39.01";
"326";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693306";"Газ";"руб/чел";"01.07.2012";"31.12.2012";"нет";"";"";"при наличии в квартире газовой плиты и газового водонагревателя (при отсутствии централизованного горячего водоснабжения)";"ООО «Газпром межрегионгаз Москва»";"97.76";
"336";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693307";"Газ";"руб/куб.м";"01.07.2012";"31.12.2012";"да/нет";"";"";"на приготовление пищи и нагрев воды с использованием газовой плиты и нагрев воды с использованием газового водонагревателя при отсутствии центрального горячего водоснабжения (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.7";
"278";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693387";"Водоотведение";"руб/куб.м";"01.09.2012";"31.12.2012";"да";"";"";"";"МГУП «Мосводоканал»";"19";
"270";"город Москва";"19693594";"Газ";"руб/куб.м";"11.01.2011";"15.01.2012";"да";"";"";"на отопление жилых помещений, а также в случае использования для учета объема потребленного газа одного прибора учета при одновременном использовании газа по нескольким направлениям его потребления, для которых устанавливаются различные розничные цены";"ООО «Мосрегионгаз»";"2.93";
"271";"город Москва";"19693595";"Газ";"руб/куб.м";"11.01.2011";"15.01.2012";"да";"";"";"на приготовление пищи и горячее водоснабжение (подогрев воды при отсутствии централизованного горячего водоснабжения)";"ООО «Мосрегионгаз»";"4.09";
"281";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693596";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.8";
